symboling,normalized-losses,make,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-L/100km,highway-L/100km,price,hrspwr-binned,fueltyp-diesel(0)/gas(1),aspiration-std(1)/turbo(0)
3,122.0,alfa-romero,two,convertible,rwd,front,88.6,-0.44,-0.85,-2.03,2548,dohc,four,130,mpfi,3.47,2.68,9.0,111.0,5000.0,11.19,8.7,13495.0,Low,0,1
3,122.0,alfa-romero,two,convertible,rwd,front,88.6,-0.44,-0.85,-2.03,2548,dohc,four,130,mpfi,3.47,2.68,9.0,111.0,5000.0,11.19,8.7,16500.0,Low,0,1
1,122.0,alfa-romero,two,hatchback,rwd,front,94.5,-0.24,-0.19,-0.56,2823,ohcv,six,152,mpfi,2.68,3.47,9.0,154.0,5000.0,12.37,9.04,16500.0,Medium,0,1
2,164.0,audi,four,sedan,fwd,front,99.8,0.19,0.15,0.22,2337,ohc,four,109,mpfi,3.19,3.4,10.0,102.0,5500.0,9.79,7.83,13950.0,Low,0,1
2,164.0,audi,four,sedan,4wd,front,99.4,0.19,0.24,0.22,2824,ohc,five,136,mpfi,3.19,3.4,8.0,115.0,5500.0,13.06,10.68,17450.0,Low,0,1
2,122.0,audi,two,sedan,fwd,front,99.8,0.25,0.2,-0.27,2507,ohc,five,136,mpfi,3.19,3.4,8.5,110.0,5500.0,12.37,9.4,15250.0,Low,0,1
1,158.0,audi,four,sedan,fwd,front,105.8,1.5,2.62,0.79,2844,ohc,five,136,mpfi,3.19,3.4,8.5,110.0,5500.0,12.37,9.4,17710.0,Low,0,1
1,122.0,audi,four,wagon,fwd,front,105.8,1.5,2.62,0.79,2954,ohc,five,136,mpfi,3.19,3.4,8.5,110.0,5500.0,12.37,9.4,18920.0,Low,0,1
1,158.0,audi,four,sedan,fwd,front,105.8,1.5,2.62,0.87,3086,ohc,five,131,mpfi,3.13,3.4,8.3,140.0,5500.0,13.82,11.75,23875.0,Medium,0,0
2,192.0,bmw,two,sedan,rwd,front,101.2,0.21,-0.52,0.22,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101.0,5800.0,10.22,8.1,16430.0,Low,0,1
0,192.0,bmw,four,sedan,rwd,front,101.2,0.21,-0.52,0.22,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101.0,5800.0,10.22,8.1,16925.0,Low,0,1
0,188.0,bmw,two,sedan,rwd,front,101.2,0.21,-0.52,0.22,2710,ohc,six,164,mpfi,3.31,3.19,9.0,121.0,4250.0,11.19,8.39,20970.0,Medium,0,1
0,188.0,bmw,four,sedan,rwd,front,101.2,0.21,-0.52,0.22,2765,ohc,six,164,mpfi,3.31,3.19,9.0,121.0,4250.0,11.19,8.39,21105.0,Medium,0,1
1,122.0,bmw,four,sedan,rwd,front,103.5,1.2,0.48,0.79,3055,ohc,six,164,mpfi,3.31,3.19,9.0,121.0,4250.0,11.75,9.4,24565.0,Medium,0,1
0,122.0,bmw,four,sedan,rwd,front,103.5,1.2,0.48,0.79,3230,ohc,six,209,mpfi,3.62,3.39,8.0,182.0,5400.0,14.69,10.68,30760.0,Medium,0,1
0,122.0,bmw,two,sedan,rwd,front,103.5,1.59,0.96,-0.03,3380,ohc,six,209,mpfi,3.62,3.39,8.0,182.0,5400.0,14.69,10.68,41315.0,Medium,0,1
0,122.0,bmw,four,sedan,rwd,front,110.0,1.85,2.38,1.03,3505,ohc,six,209,mpfi,3.62,3.39,8.0,182.0,5400.0,15.67,11.75,36880.0,Medium,0,1
2,121.0,chevrolet,two,hatchback,fwd,front,88.4,-2.69,-2.66,-0.23,1488,l,three,61,2bbl,2.91,3.03,9.5,48.0,5100.0,5.0,4.43,5151.0,Low,0,1
1,98.0,chevrolet,two,hatchback,fwd,front,94.5,-1.49,-1.09,-0.72,1874,ohc,four,90,2bbl,3.03,3.11,9.6,70.0,5400.0,6.18,5.47,6295.0,Low,0,1
0,81.0,chevrolet,four,sedan,fwd,front,94.5,-1.25,-1.09,-0.72,1909,ohc,four,90,2bbl,3.03,3.11,9.6,70.0,5400.0,6.18,5.47,6575.0,Low,0,1
1,118.0,dodge,two,hatchback,fwd,front,93.7,-1.37,-0.99,-1.21,1876,ohc,four,90,2bbl,2.97,3.23,9.41,68.0,5500.0,6.35,5.73,5572.0,Low,0,1
1,118.0,dodge,two,hatchback,fwd,front,93.7,-1.37,-0.99,-1.21,1876,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500.0,7.58,6.18,6377.0,Low,0,1
1,118.0,dodge,two,hatchback,fwd,front,93.7,-1.37,-0.99,-1.21,2128,ohc,four,98,mpfi,3.03,3.39,7.6,102.0,5500.0,9.79,7.83,7957.0,Low,0,0
1,148.0,dodge,four,hatchback,fwd,front,93.7,-1.37,-0.99,-1.29,1967,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500.0,7.58,6.18,6229.0,Low,0,1
1,148.0,dodge,four,sedan,fwd,front,93.7,-1.37,-0.99,-1.29,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500.0,7.58,6.18,6692.0,Low,0,1
1,148.0,dodge,four,sedan,fwd,front,93.7,-1.37,-0.99,-1.29,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500.0,7.58,6.18,7609.0,Low,0,1
1,148.0,dodge,,sedan,fwd,front,93.7,-1.37,-0.99,-1.29,2191,ohc,four,98,mpfi,3.03,3.39,7.6,102.0,5500.0,9.79,7.83,8558.0,Low,0,0
-1,110.0,dodge,four,wagon,fwd,front,103.3,0.03,-0.61,2.46,2535,ohc,four,122,2bbl,3.34,3.46,8.5,88.0,5000.0,9.79,7.83,8921.0,Low,0,1
3,145.0,dodge,two,hatchback,fwd,front,95.9,-0.08,0.2,-1.46,2811,ohc,four,156,mfi,3.6,3.9,7.0,145.0,5000.0,12.37,9.79,12964.0,Medium,0,0
2,137.0,honda,two,hatchback,fwd,front,86.6,-2.4,-0.95,-1.21,1713,ohc,four,92,1bbl,2.91,3.41,9.6,58.0,4800.0,4.8,4.35,6479.0,Low,0,1
2,137.0,honda,two,hatchback,fwd,front,86.6,-2.4,-0.95,-1.21,1819,ohc,four,92,1bbl,2.91,3.41,9.2,76.0,6000.0,7.58,6.18,6855.0,Low,0,1
1,101.0,honda,two,hatchback,fwd,front,93.7,-1.96,-0.9,-0.48,1837,ohc,four,79,1bbl,2.91,3.07,10.1,60.0,5500.0,6.18,5.6,5399.0,Low,0,1
1,101.0,honda,two,hatchback,fwd,front,93.7,-1.96,-0.9,-0.48,1940,ohc,four,92,1bbl,2.91,3.41,9.2,76.0,6000.0,7.83,6.91,6529.0,Low,0,1
1,101.0,honda,two,hatchback,fwd,front,93.7,-1.96,-0.9,-0.48,1956,ohc,four,92,1bbl,2.91,3.41,9.2,76.0,6000.0,7.83,6.91,7129.0,Low,0,1
0,110.0,honda,four,sedan,fwd,front,96.5,-0.88,-0.9,0.3,2010,ohc,four,92,1bbl,2.91,3.41,9.2,76.0,6000.0,7.83,6.91,7295.0,Low,0,1
